# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-07 22:26:54 318905569 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137266  0.164398987 -0.986393924  0.000000000000000000 -30.413812651   0.000000000  30.413812651  0.000000999314022   318.446402  0.000000000000000 
     1     0.001000  0.000137266  0.000137204  0.164442912 -0.986386602  0.000000000000000000 -30.414038408  30.414038408  30.414038408  0.000000998546037   317.959265 30.414038407516998 
     2     0.002000  0.000274470  0.000137294  0.164486840 -0.986379278  0.000000000000003553 -30.414264246  19.885621067  30.414264246  0.000000999995346   317.472893 19.885621066755704 
     3     0.003000  0.000411764  0.000137232  0.164530819 -0.986371943  0.000000000000000000 -30.414490416  22.807699023  30.414490416  0.000000999226181   316.986745 22.807699022576287 
     4     0.004000  0.000548995  0.000137169  0.164574802 -0.986364605  0.000000000000000000 -30.414716670  26.031272843  30.414716670  0.000000998455477   316.501362 26.031272843224791 
     5     0.005000  0.000686165  0.000137259  0.164618789 -0.986357265  0.000000000000000000 -30.414943005  29.596218493  30.414943005  0.000000999905866   316.016742 29.596218492699251 
     6     0.006000  0.000823424  0.000137197  0.164662827 -0.986349914  0.000000000000000000 -30.415169674  30.415169674  30.415169674  0.000000999133982   315.532347 30.415169673653924 
     7     0.007000  0.000960621  0.000137135  0.164706869 -0.986342561  0.000000000000003553 -30.415396425  30.415396425  30.415396425  0.000000998360561   315.048715 30.415396424759155 
     8     0.008000  0.001097756  0.000137225  0.164750913 -0.986335205 -0.000000000000003553 -30.415623258  30.415623258  30.415623258  0.000000999812022   314.565844 30.415623257769468 
     9     0.009000  0.001234980  0.000137162  0.164795010 -0.986327838  0.000000000000000000 -30.415850426  30.415850426  30.415850426  0.000000999037420   314.083198 30.415850425606337 
    10     0.010000  0.001372143  0.000137099  0.164839110 -0.986320469  0.000000000000000000 -30.416077676  30.416077676  30.416077676  0.000000998261284   313.601313 30.416077675546113 
    11     0.011000  0.001509242  0.000137190  0.164883214 -0.986313097  0.000000000000000000 -30.416305007  30.416305007  30.416305007  0.000000999713809   313.120188 30.416305007341389 
    12     0.012000  0.001646432  0.000137127  0.164927369 -0.986305715  0.000000000000000000 -30.416532675  30.416532675  30.416532675  0.000000998936492   312.639287 30.416532674925001 
    13     0.013000  0.001783558  0.000137064  0.164971528 -0.986298330  0.000000000000000000 -30.416760425  30.416760425  30.416760425  0.000000998157643   312.159146 30.416760424561947 
    14     0.014000  0.001920622  0.000137154  0.165015689 -0.986290942  0.000000000000000000 -30.416988256  30.416988256  30.416988256  0.000000999611223   311.679763 30.416988256003670 
    15     0.015000  0.002057777  0.000137091  0.165059903 -0.986283544  0.000000000000000000 -30.417216424  30.417216424  30.417216424  0.000000998831193   311.200604 30.417216424197317 
    16     0.016000  0.002194868  0.000137028  0.165104121 -0.986276143  0.000000000000000000 -30.417444674  30.417444674  30.417444674  0.000000998049633   310.722203 30.417444674393582 
    17     0.017000  0.002331896  0.000137119  0.165148341 -0.986268739  0.000000000000003553 -30.417673006  30.417673006  30.417673006  0.000000999504260   310.244560 30.417673006342739 
